wall_sec,uptime_sec,steps_raw,sps_raw,epoch,episode_return,episode_length,depth,valid_moves,illegal_actions,new_tiles,gpu_pct,vram_mb,arena_rss_mb
0,,,,,,,,,,,,,1
30,0d0h0m24sMisc4ms0%kl0.067,655.4K,31.5K,10,-7.133,516.667,0.000,37.000,19.667,23.667,2,5.4,1
60,0d0h0m55sMisc4ms0%kl0.070,1.6M,31.2K,25,1.500,1541.500,0.000,539.000,0.000,15.000,2,5.4,1
90,0d0h1m24sMisc4ms0%kl0.011,2.6M,31.7K,39,-9.800,2139.000,0.000,273.500,31.000,57.000,2,5.4,1
120,0d0h1m54sMisc4ms0%kl0.070,3.4M,26.5K,52,1.550,1888.000,0.000,144.500,0.000,15.500,1,5.4,1
150,0d0h2m25sMisc4ms0%kl0.009,4.2M,24.0K,64,1.500,4071.000,0.000,198.000,8.000,55.000,1,5.4,1
