wall_sec,uptime_sec,steps_raw,sps_raw,epoch,episode_return,episode_length,depth,valid_moves,illegal_actions,new_tiles,gpu_pct,vram_mb,arena_rss_mb
0,,,,,,,,,,,,,1
30,0d0h0m14sMisc13ms0%kl0.215,262.1K,17.9K,1,-0.625,40.583,0.000,17.000,2.500,6.250,5,20.1,1
60,0d0h0m44sMisc13ms0%kl0.161,1.0M,28.2K,4,1.267,231.167,0.000,95.333,0.833,16.833,18,20.1,1
90,0d0h1m20sMisc12ms0%kl0.157,2.1M,29.5K,8,2.450,489.250,0.000,102.875,0.750,28.250,1,20.1,1
120,0d0h1m47sMisc12ms0%kl0.093,2.9M,29.6K,11,2.100,659.833,0.000,126.667,2.833,31.833,56,20.1,1
150,0d0h2m15sMisc12ms0%kl0.066,3.7M,27.9K,14,-0.113,867.125,0.000,62.500,6.250,27.625,45,20.1,1
180,0d0h2m47sMisc13ms0%kl0.038,4.5M,22.6K,17,2.377,1012.545,0.000,124.864,1.864,30.818,1,20.1,1
210,0d0h3m20sMisc13ms0%kl0.052,5.2M,22.8K,20,1.869,1144.000,0.000,226.000,4.812,41.500,1,20.1,1
240,0d0h3m44sMisc12ms0%kl0.017,5.8M,21.8K,22,3.063,1334.833,0.000,218.083,2.625,43.333,1,20.1,1
270,0d0h4m21sMisc12ms0%kl0.024,6.6M,21.7K,25,3.207,1237.071,0.000,198.714,3.714,49.214,1,20.1,1
