wall_sec,uptime,steps,sps,epoch,ret,len,depth,vmoves,imoves,ntiles,gpu,vram,entropy
30,0d0h0m26sMisc2ms0%kl0.028│,557.1K,19.9K,17,2.200,1079.000,0.000,357.000,0.000,22.000,2,3.0,2.344
60,0d0h0m31sMisc2ms0%kl0.024│,655.4K,19.5K,20,5.233,1251.667,0.000,254.500,0.833,56.500,5,3.0,2.443
